OBJECTID,long_,lat,thick,alt,Z_Lorenzo,bed_Z
112,86.694781302301706,27.971099561818658,279.061185388569920,4803.399999999999600,4763.7954102,4485
113,86.694855302301704,27.971100561818655,277.691223805581610,4803.600000000000400,4763.0458984,4485
114,86.694855302301704,27.971100561818655,277.683243861841900,4803.600000000000400,4763.0458984,4485
115,86.694907302301701,27.971106561818658,277.683243861841900,4803.699999999999800,4762.8867188,4485
116,86.694907302301701,27.971106561818658,277.683243861841900,4803.699999999999800,4762.8867188,4485
117,86.694943302301709,27.971107561818656,278.368248299838340,4805.000000000000000,4763.3144531,4485
118,86.694943302301709,27.971107561818656,279.053206055974210,4805.000000000000000,4763.3144531,4484
119,86.694992302301699,27.971094561818656,280.423043476335290,4806.800000000000200,4764.1289063,4484
120,86.694992302301699,27.971094561818656,281.792798791769830,4806.800000000000200,4764.1289063,4482
121,86.695040302301706,27.971088561818657,281.800776928716290,4805.699999999999800,4763.3554688,4482
122,86.695040302301706,27.971088561818657,281.808752453843910,4805.699999999999800,4763.3554688,4482
123,86.695062302301707,27.971079561818655,282.501556549444730,4806.699999999999800,4762.1098633,4480
124,86.695062302301707,27.971079561818655,283.186360027124860,4806.699999999999800,4762.1098633,4479
125,86.695087302301701,27.971071561818658,284.555912777841170,4807.100000000000400,4760.4790039,4476
126,86.695087302301701,27.971071561818658,285.925346771502120,4807.100000000000400,4760.4790039,4475
127,86.695137302301703,27.971068561818658,286.610047982299930,4807.300000000000200,4758.5292969,4472
128,86.695140302301709,27.971069561818656,286.610047982299930,4807.500000000000000,4758.5039063,4472
129,86.695178302301699,27.971057561818657,286.610047982299930,4808.699999999999800,4756.4409180,4470
130,86.695178302301699,27.971057561818657,286.610047982299930,4808.699999999999800,4756.4409180,4470
131,86.695215302301705,27.971056561818656,287.278757996531620,4810.199999999999800,4755.0341797,4468
132,86.695215302301705,27.971056561818656,289.332607385231820,4810.199999999999800,4755.0341797,4466
133,86.695236302301709,27.971049561818656,289.332607385231820,4810.699999999999800,4753.8457031,4465
134,86.695236302301709,27.971049561818656,290.701709630194900,4810.699999999999800,4753.8457031,4463
135,86.695271302301705,27.971043561818657,290.701709630194900,4811.500000000000000,4752.6259766,4462
136,86.695271302301705,27.971043561818657,290.017170147404730,4811.500000000000000,4752.6259766,4463
137,86.695358302301699,27.971055561818655,290.017170147404730,4811.600000000000400,4753.6650391,4464
138,86.695358302301699,27.971055561818655,287.278757996531620,4811.600000000000400,4753.6650391,4466
139,86.695414302301700,27.971083561818656,283.855209650825370,4810.500000000000000,4756.4018555,4473
140,86.695414302301700,27.971083561818656,283.855209650825370,4810.500000000000000,4756.4018555,4473
141,86.695459302301700,27.971078561818658,282.485606005189370,4809.600000000000400,4757.9077148,4475
142,86.695458302301702,27.971075561818658,282.485606005189370,4809.699999999999800,4757.7016602,4475
143,86.695531302301703,27.971094561818656,282.485606005189370,4807.899999999999600,4762.9023438,4480
144,86.695529302301708,27.971094561818656,282.485606005189370,4808.000000000000000,4762.7924805,4480
145,86.695577302301700,27.971105561818657,282.485606005189370,4807.100000000000400,4765.8867188,4483
146,86.695577302301700,27.971105561818657,281.800776928716290,4807.100000000000400,4765.8867188,4484
147,86.695636302301708,27.971115561818657,279.061185388569920,4805.600000000000400,4768.8271484,4490
148,86.695636302301708,27.971115561818657,277.691223805581610,4805.600000000000400,4768.8271484,4491
149,86.695670302301707,27.971125561818656,275.636113688074770,4804.699999999999800,4770.4213867,4495
150,86.695669302301710,27.971124561818655,275.636113688074770,4804.600000000000400,4770.3559570,4495
151,86.695718302301700,27.971120561818658,275.636113688074770,4803.199999999999800,4770.1323242,4494
152,86.695718302301700,27.971120561818658,275.636113688074770,4803.199999999999800,4770.1323242,4494
153,86.695781302301697,27.971119561818657,275.644091952709570,4801.600000000000400,4767.4980469,4492
154,86.695779302301702,27.971119561818657,274.273863789495350,4801.500000000000000,4767.5761719,4493
155,86.695823302301704,27.971119561818657,274.273863789495350,4799.800000000000200,4765.9042969,4492
156,86.695817302301705,27.971117561818655,272.903546553294800,4799.800000000000200,4765.9736328,4493
157,86.695859302301699,27.971126561818657,272.218325740280140,4797.399999999999600,4765.1928711,4493
158,86.695859302301699,27.971126561818657,272.218325740280140,4797.399999999999600,4765.1928711,4493
159,86.695937302301701,27.971125561818656,272.218325740280140,4794.000000000000000,4762.1357422,4490
160,86.695936302301703,27.971125561818656,272.218325740280140,4793.899999999999600,4762.1762695,4490
161,86.695981302301703,27.971127561818658,270.847840751623550,4794.399999999999600,4760.5854492,4490
162,86.695978302301697,27.971127561818658,270.847840751623550,4794.199999999999800,4760.6762695,4490
163,86.696029302301710,27.971117561818655,270.162555691354670,4794.199999999999800,4758.5302734,4488
164,86.696029302301710,27.971117561818655,270.847840751623550,4794.199999999999800,4758.5302734,4488
165,86.696075302301708,27.971113561818658,271.525117139285380,4793.600000000000400,4756.4755859,4485
166,86.696075302301708,27.971113561818658,271.525117139285380,4793.600000000000400,4756.4755859,4485
167,86.696105302301703,27.971092561818658,271.525117139285380,4794.300000000000200,4753.8139648,4482
168,86.696104302301706,27.971092561818658,270.154574832479850,4794.399999999999600,4753.8569336,4484
169,86.696146302301699,27.971075561818658,269.469240197323190,4794.000000000000000,4751.0512695,4482
170,86.696146302301699,27.971075561818658,268.098525044755830,4794.000000000000000,4751.0512695,4483
171,86.696184302301702,27.971073561818656,266.050193805050470,4794.300000000000200,4748.9531250,4483
172,86.696184302301702,27.971073561818656,265.364703193981090,4794.300000000000200,4748.9531250,4484
173,86.696243302301710,27.971059561818656,265.364703193981090,4792.600000000000400,4745.9135742,4481
174,86.696243302301710,27.971059561818656,264.679182303902790,4792.699999999999800,4745.9135742,4481
175,86.696295302301706,27.971047561818658,263.308028103296010,4792.300000000000200,4744.2583008,4481
176,86.696296302301704,27.971047561818658,261.267047668340070,4792.300000000000200,4744.2465820,4483
177,86.696346302301706,27.971044561818658,259.895601876921890,4791.399999999999600,4743.9218750,4484
178,86.696344302301711,27.971044561818658,258.524006682975820,4791.300000000000200,4743.9018555,4485
179,86.696396302301707,27.971047561818658,253.722429317432500,4789.800000000000200,4744.3701172,4491
180,86.696437302301703,27.971041561818655,253.036335631373080,4790.000000000000000,4744.2929688,4491
181,86.696437302301703,27.971041561818655,252.350227672639250,4790.000000000000000,4744.2929688,4492
182,86.696478302301699,27.971035561818656,251.664084504366800,4790.100000000000400,4743.8730469,4492
183,86.696479302301697,27.971035561818656,250.291691380920810,4790.100000000000400,4743.8652344,4494
184,86.696519302301709,27.971026561818658,248.919133253643170,4791.000000000000000,4743.1010742,4494
185,86.696519302301709,27.971026561818658,248.919133253643170,4791.000000000000000,4743.1010742,4494
186,86.696560302301705,27.971010561818655,248.232809640629260,4791.899999999999600,4741.6098633,4493
187,86.696560302301705,27.971010561818655,248.232809640629260,4791.899999999999600,4741.6098633,4493
188,86.696612302301702,27.970984561818657,246.860030555829350,4792.199999999999800,4739.5903320,4493
189,86.696611302301704,27.970985561818658,246.860030555829350,4792.199999999999800,4739.6245117,4493
190,86.696663302301701,27.970972561818655,246.868024506236220,4792.399999999999600,4738.6679688,4492
191,86.696663302301701,27.970972561818655,246.181589346018710,4792.399999999999600,4738.6679688,4492
192,86.696703302301700,27.970957561818658,246.181589346018710,4792.399999999999600,4738.4223633,4492
193,86.696703302301700,27.970957561818658,246.181589346018710,4792.399999999999600,4738.4223633,4492
194,86.696753302301701,27.970949561818657,246.181589346018710,4792.100000000000400,4737.5668945,4491
195,86.696753302301701,27.970949561818657,246.868024506236220,4792.100000000000400,4737.5668945,4491
196,86.696797302301704,27.970967561818657,247.554442551011360,4791.600000000000400,4736.5322266,4489
197,86.696797302301704,27.970967561818657,247.554442551011360,4791.600000000000400,4736.5322266,4489
198,86.696839302301697,27.970975561818658,247.554442551011360,4792.000000000000000,4735.9272461,4488
199,86.696839302301697,27.970975561818658,247.554442551011360,4792.000000000000000,4735.9272461,4488
200,86.696881302301705,27.970973561818656,248.240802722287550,4792.699999999999800,4735.7182617,4487
201,86.696881302301705,27.970973561818656,248.240802722287550,4792.699999999999800,4735.7182617,4487
202,86.696941302301710,27.970974561818657,248.240802722287550,4793.399999999999600,4738.1791992,4490
203,86.696941302301710,27.970974561818657,248.240802722287550,4793.399999999999600,4738.1791992,4490
204,86.696985302301698,27.970977561818657,248.240802722287550,4794.100000000000400,4740.2709961,4492
205,86.696985302301698,27.970977561818657,248.240802722287550,4794.100000000000400,4740.2709961,4492
206,86.697049302301707,27.970995561818658,248.240802722287550,4795.500000000000000,4743.9848633,4496
207,86.697049302301707,27.970995561818658,247.562435975842220,4795.500000000000000,4743.9848633,4496
208,86.697111302301707,27.970997561818656,246.892008772566240,4795.800000000000200,4746.3281250,4499
209,86.697111302301707,27.970997561818656,246.173594955783730,4795.800000000000200,4746.3281250,4500
210,86.697158302301702,27.971008561818657,244.800609824635250,4795.800000000000200,4747.0751953,4502
211,86.697158302301702,27.971008561818657,244.114038985114970,4795.800000000000200,4747.0751953,4503
212,86.697209302301701,27.971009561818658,243.427449831812170,4796.800000000000200,4746.7163086,4503
213,86.697209302301701,27.971009561818658,243.427449831812170,4796.800000000000200,4746.7163086,4503
214,86.697247302301705,27.971018561818656,242.740821369138300,4797.000000000000000,4746.4707031,4504
215,86.697247302301705,27.971018561818656,244.114038985114970,4797.000000000000000,4746.4707031,4502
216,86.697302302301708,27.971021561818656,244.792612007912280,4799.899999999999600,4745.3837891,4501
217,86.697302302301708,27.971021561818656,247.538452987597820,4799.899999999999600,4745.3837891,4498
218,86.697339302301700,27.971033561818658,249.581441024516010,4802.000000000000000,4745.4306641,4496
219,86.697339302301700,27.971033561818658,253.698457605212670,4802.000000000000000,4745.4306641,4492
220,86.697385302301697,27.971032561818657,253.698457605212670,4802.800000000000200,4746.9267578,4493
221,86.697386302301709,27.971032561818657,255.062510936692750,4802.899999999999600,4746.9628906,4492
222,86.697425302301710,27.971042561818656,255.070502429874410,4803.699999999999800,4748.2744141,4493
223,86.697425302301710,27.971042561818656,255.756473561419820,4803.699999999999800,4748.2744141,4493
224,86.697476302301709,27.971041561818655,256.450419522525750,4805.100000000000400,4749.3154297,4493
225,86.697476302301709,27.971041561818655,256.450419522525750,4805.100000000000400,4749.3154297,4493
226,86.697531302301698,27.971036561818657,256.450419522525750,4808.100000000000400,4749.0517578,4493
227,86.697531302301698,27.971036561818657,256.450419522525750,4808.100000000000400,4749.0517578,4493
228,86.697602302301704,27.971020561818658,256.450419522525750,4808.699999999999800,4749.2934570,4493
229,86.697602302301704,27.971020561818658,257.830180458234960,4808.699999999999800,4749.2934570,4491
230,86.697658302301704,27.971018561818656,256.466398381776460,4805.899999999999600,4751.5776367,4495
231,86.697658302301704,27.971018561818656,256.466398381776460,4805.899999999999600,4751.5776367,4495
232,86.697706302301697,27.971016561818658,256.466398381776460,4804.500000000000000,4753.0556641,4497
233,86.697706302301697,27.971016561818658,255.110449543958770,4804.500000000000000,4753.0556641,4498
234,86.697775302301707,27.971018561818656,255.110449543958770,4804.100000000000400,4753.6108398,4499
235,86.697775302301707,27.971018561818656,253.738408721506060,4804.100000000000400,4753.6108398,4500
236,86.697826302301706,27.971036561818657,253.738408721506060,4801.600000000000400,4754.6860352,4501
237,86.697826302301706,27.971036561818657,253.730419063963440,4801.600000000000400,4754.6860352,4501
238,86.697873302301701,27.971030561818658,253.722429317432500,4800.899999999999600,4756.2856445,4503
239,86.697873302301701,27.971030561818658,253.722429317432500,4800.899999999999600,4756.2856445,4503
240,86.697955302301708,27.971019561818657,253.722429317432500,4800.500000000000000,4759.1499023,4505
241,86.697955302301708,27.971019561818657,255.780441685625020,4800.500000000000000,4759.1499023,4503
242,86.698025302301701,27.970990561818656,258.524006682975820,4801.399999999999600,4757.4243164,4499
243,86.698025302301701,27.970990561818656,259.217817424657030,4801.399999999999600,4757.4243164,4498
244,86.698086302301704,27.970961561818658,259.217817424657030,4803.100000000000400,4755.0869141,4496
245,86.698086302301704,27.970961561818658,259.217817424657030,4803.100000000000400,4755.0869141,4496
246,86.698165302301703,27.970957561818658,259.217817424657030,4805.399999999999600,4754.0600586,4495
247,86.698165302301703,27.970957561818658,261.275033167731810,4805.399999999999600,4754.0600586,4493
248,86.698211302301701,27.970944561818655,261.275033167731810,4804.899999999999600,4753.5244141,4492
249,86.698211302301701,27.970944561818655,260.589326589451500,4804.899999999999600,4753.5244141,4493
250,86.698260302301705,27.970938561818656,260.581340719139520,4804.800000000000200,4755.5244141,4495
251,86.698260302301705,27.970938561818656,259.887613100764100,4804.800000000000200,4755.5244141,4496
252,86.698317302301703,27.970940561818658,258.524006682975820,4805.699999999999800,4756.3715820,4498
253,86.698317302301703,27.970940561818658,259.217817424657030,4805.699999999999800,4756.3715820,4497
254,86.698385302301702,27.970931561818656,259.903588121093890,4806.899999999999600,4758.2529297,4498
255,86.698385302301702,27.970931561818656,259.903588121093890,4806.899999999999600,4758.2529297,4498
256,86.698467302301708,27.970929561818657,257.846157758121480,4806.100000000000400,4759.9653320,4502
257,86.698467302301708,27.970929561818657,257.160288742421810,4806.100000000000400,4759.9653320,4503
258,86.698529302301708,27.970924561818656,255.788430236498100,4805.899999999999600,4760.4399414,4505
259,86.698529302301708,27.970924561818656,255.788430236498100,4805.899999999999600,4760.4399414,4505
260,86.698602302301708,27.970934561818655,255.788430236498100,4804.500000000000000,4760.3110352,4505
261,86.698602302301708,27.970934561818655,255.788430236498100,4804.500000000000000,4760.3110352,4505
262,86.698657302301697,27.970936561818657,255.788430236498100,4802.800000000000200,4760.5991211,4505
263,86.698655302301702,27.970937561818658,255.788430236498100,4802.500000000000000,4760.6625977,4505
264,86.698716302301705,27.970932561818657,255.788430236498100,4801.699999999999800,4760.8842773,4505
265,86.698716302301705,27.970932561818657,256.474386540466980,4801.699999999999800,4760.8842773,4504
266,86.698788302301708,27.970933561818658,256.458407690316330,4801.800000000000200,4759.8325195,4503
267,86.698788302301708,27.970933561818658,257.822193065562150,4801.800000000000200,4759.8325195,4502
268,86.698847302301701,27.970946561818657,258.500043210186220,4800.199999999999800,4759.0498047,4501
269,86.698847302301701,27.970946561818657,259.185868470727480,4800.199999999999800,4759.0498047,4500
270,86.698915302301700,27.970943561818657,259.863651885532820,4798.699999999999800,4757.7934570,4498
271,86.698915302301700,27.970943561818657,259.839690546682450,4798.699999999999800,4757.7934570,4498
272,86.698972302301698,27.970936561818657,262.582486042897980,4797.500000000000000,4757.1391602,4495
273,86.698972302301698,27.970936561818657,263.953684966089610,4797.500000000000000,4757.1391602,4493
274,86.699032302301703,27.970936561818657,263.953684966089610,4797.000000000000000,4755.8637695,4492
275,86.699032302301703,27.970936561818657,263.260116655234700,4797.000000000000000,4755.8637695,4493
276,86.699087302301706,27.970931561818656,263.260116655234700,4796.000000000000000,4754.7563477,4491
277,86.699087302301706,27.970931561818656,261.888854744190840,4796.000000000000000,4754.7563477,4493
278,86.699148302301708,27.970923561818658,260.517446186462560,4795.600000000000400,4754.4082031,4494
279,86.699148302301708,27.970923561818658,259.839690546682450,4795.600000000000400,4754.4082031,4495
280,86.699206302301704,27.970926561818658,259.887613100764100,4795.500000000000000,4754.2446289,4494
281,86.699206302301704,27.970926561818658,259.209830803653970,4795.500000000000000,4754.2446289,4495
282,86.699206302301704,27.970926561818658,259.217817424657030,4795.500000000000000,4754.2446289,4495
283,86.699269302301701,27.970932561818657,259.217817424657030,4794.100000000000400,4752.5317383,4493
284,86.699350813867611,27.970974031448204,255.057945438674520,4794.000000000000000,4750.2934570,4495
285,86.699350813867611,27.970974031448204,254.371939585456180,4794.000000000000000,4750.2934570,4496
286,86.699350813867611,27.970974031448204,254.371939585456180,4794.000000000000000,4750.2934570,4496
287,86.699438813867602,27.971006031448205,255.057945438674520,4796.399999999999600,4748.9174805,4494
288,86.699438813867602,27.971006031448205,256.429875681576450,4796.399999999999600,4748.9174805,4492
289,86.699483813867602,27.971020031448205,257.801651218377970,4796.300000000000200,4748.5327148,4491
290,86.699483813867602,27.971020031448205,257.801651218377970,4796.300000000000200,4748.5327148,4491
291,86.699534813867601,27.971006031448205,257.801651218377970,4796.199999999999800,4746.4228516,4489
292,86.699537813867607,27.971006031448205,255.057945438674520,4796.300000000000200,4746.3642578,4491
293,86.699600813867605,27.971011031448203,255.057945438674520,4798.600000000000400,4745.8442383,4491
294,86.699600813867605,27.971011031448203,255.057945438674520,4798.600000000000400,4745.8442383,4491
295,86.699659813867598,27.971013031448205,252.313693990752200,4799.100000000000400,4745.9082031,4494
296,86.699659813867598,27.971013031448205,252.313693990752200,4799.100000000000400,4745.9082031,4494
297,86.699730813867603,27.971029031448204,252.313693990752200,4799.899999999999600,4746.5859375,4494
298,86.699730813867603,27.971029031448204,250.941368374734740,4799.899999999999600,4746.5859375,4496
299,86.699777813867598,27.971023031448205,250.941368374734740,4800.000000000000000,4746.1860352,4495
300,86.699777813867598,27.971023031448205,251.627548939633240,4800.000000000000000,4746.1860352,4495
301,86.699842813867605,27.971015031448204,252.999803817035770,4802.000000000000000,4745.3256836,4492
302,86.699842813867605,27.971015031448204,253.685899355569720,4802.000000000000000,4745.3256836,4492
303,86.699900813867600,27.971017031448206,254.371939585456180,4802.399999999999600,4744.0688477,4490
304,86.699900813867600,27.971017031448206,254.371939585456180,4802.399999999999600,4744.0688477,4490
305,86.699949813867605,27.971022031448204,252.999803817035770,4802.300000000000200,4743.6201172,4491
306,86.699949813867605,27.971022031448204,252.999803817035770,4802.300000000000200,4743.6201172,4491
307,86.699999813867606,27.971011031448203,252.999803817035770,4803.600000000000400,4744.5078125,4492
